Name,Pos,team,$,YDiff,Diff,FPs,Avg,#Own,FP/$,#Gm,#HG,#AG,ARnk,Wed 01/13,Thu 01/14,Fri 01/15,Sat 01/16,Sun 01/17,Mon 01/18,Gp,G,A,P,+/-,Pim,Sht,H,Blk,Gwg,Otg,Ppg,Shg,Toi,PPToi,Ga,Sv%,Sv,Win,Loss,Otl,So
M Stromberg,D,OTT,0.50,0.00,0.00,0,0,0,0,2,2,0,13,,,TOR,TOR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P Ronnquist,G,OTT,0.50,0.00,0.00,0,0,2,0,2,2,0,13,,,TOR,TOR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D Ryabykin,D,CAL,0.50,0.00,0.00,0,0,0,0,3,2,1,13,,@WPG,,VAN,,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Kazakevich,C,PIT,0.50,0.00,0.00,0,0,1,0,3,1,2,15,@PHI,,@PHI,,WSH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V Malenkykh,D,PIT,0.50,0.00,0.00,0,0,0,0,3,1,2,15,@PHI,,@PHI,,WSH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Kryukov,C,BUF,0.50,0.00,0.00,0,0,1,0,3,2,1,10,,WSH,WSH,,,@PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Nikulin,D,WPG,0.50,0.00,0.00,0,0,0,0,2,1,1,15,,CAL,,,,@TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R Zainullin,W,CAL,0.50,0.00,0.00,0,0,0,0,3,2,1,13,,@WPG,,VAN,,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Ottosson,W,NYI,0.50,0.00,0.00,0,0,1,0,3,1,2,19,,@NYR,,@NYR,,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Taratukhin,C,CAL,0.50,0.00,0.00,0,0,0,0,3,2,1,13,,@WPG,,VAN,,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Medvedev,G,CAL,0.50,0.00,0.00,0,0,1,0,3,2,1,13,,@WPG,,VAN,,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E Shastin,W,CAL,0.50,0.00,0.00,0,0,0,0,3,2,1,13,,@WPG,,VAN,,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Blatak,D,DET,0.50,0.00,0.00,0,0,0,0,3,3,0,11,,CAR,,CAR,,CBJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D Semin,W,STL,0.50,0.00,0.00,0,0,0,0,3,1,2,9,@COL,,@COL,,,SJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y Trubachev,C,CAL,0.50,0.00,0.00,0,0,0,0,3,2,1,13,,@WPG,,VAN,,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Anshakov,W,PIT,0.50,0.00,0.00,0,0,0,0,3,1,2,15,@PHI,,@PHI,,WSH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V Koshechkin,G,TBL,0.50,0.00,0.00,0,0,4,0,2,2,0,26,CHI,,CHI,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V Bobrov,W,CAL,0.50,0.00,0.00,0,0,0,0,3,2,1,13,,@WPG,,VAN,,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Koltsov,D,VAN,0.50,0.00,0.00,0,0,0,0,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Ignatushkin,W,WSH,0.50,0.00,0.00,0,0,0,0,3,0,3,6,,@BUF,@BUF,,@PIT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Mozyakin,W,CBJ,0.50,0.00,0.00,0,0,0,0,3,0,3,16,,@NSH,,@NSH,,@DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Seabrook,D,TBL,0.50,0.00,0.00,0,0,0,0,2,2,0,26,CHI,,CHI,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Weber,D,ARI,0.50,0.00,-3.09,0,0,0,0,3,2,1,18,,SJS,,SJS,,@VGK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Mirnov,C,OTT,0.50,0.00,0.00,0,0,0,0,2,2,0,13,,,TOR,TOR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D Pestunov,C,ARI,0.50,0.00,0.00,0,0,0,0,3,2,1,18,,SJS,,SJS,,@VGK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Barulin,G,STL,0.50,0.00,0.00,0,0,0,0,3,1,2,9,@COL,,@COL,,,SJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Khomutov,C,NJD,0.50,0.00,0.00,0,0,1,0,2,2,0,2,,BOS,,BOS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P Ehelechner,G,PIT,0.50,0.00,0.00,0,0,0,0,3,1,2,15,@PHI,,@PHI,,WSH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E Isakov,W,PIT,0.50,0.00,0.00,0,0,0,0,3,1,2,15,@PHI,,@PHI,,WSH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Gimayev,D,OTT,0.50,0.00,0.00,0,0,0,0,2,2,0,13,,,TOR,TOR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E Skachkov,W,STL,0.50,0.00,0.00,0,0,0,0,3,1,2,9,@COL,,@COL,,,SJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Pervyshin,D,STL,0.50,0.00,0.00,0,0,0,0,3,1,2,9,@COL,,@COL,,,SJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Lyamin,D,OTT,0.50,0.00,0.00,0,0,0,0,2,2,0,13,,,TOR,TOR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Yunkov,C,WSH,0.50,0.00,0.00,0,0,0,0,3,0,3,6,,@BUF,@BUF,,@PIT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V Alexandrov,W,STL,0.50,0.00,0.00,0,0,0,0,3,1,2,9,@COL,,@COL,,,SJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P Guggisberg,W,WSH,0.50,0.00,0.00,0,0,1,0,3,0,3,6,,@BUF,@BUF,,@PIT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Price,G,MTL,0.50,0.00,-5.95,0,0,2,0,3,0,3,10,@TOR,,,@EDM,,@EDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Stalock,G,ANA,0.89,0.00,-4.11,0,0,0,0,3,1,2,14,,@VGK,,@VGK,,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Krysanov,C,ARI,0.50,0.00,0.00,0,0,0,0,3,2,1,18,,SJS,,SJS,,@VGK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D Megalinsky,D,OTT,0.50,0.00,0.00,0,0,0,0,2,2,0,13,,,TOR,TOR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Little,C,ARI,0.50,0.00,0.00,0,0,0,0,3,2,1,18,,SJS,,SJS,,@VGK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Walker,W,MIN,0.50,0.00,0.00,0,0,0,0,3,0,3,22,,@LAK,,@LAK,,@ANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Kampfer,D,ARI,0.50,0.00,-1.40,0,0,0,0,3,2,1,18,,SJS,,SJS,,@VGK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Malone,C,EDM,0.50,0.00,0.00,0,0,0,0,4,4,0,13,VAN,VAN,,MTL,,MTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Voracek,W,ARI,0.50,0.00,-2.85,0,0,0,0,3,2,1,18,,SJS,,SJS,,@VGK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Muzzin,D,TOR,0.50,0.00,-3.82,0,0,0,0,4,2,2,24,MTL,,@OTT,@OTT,,WPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Gayduchenko,G,FLA,0.50,0.00,0.00,0,0,10,0,1,1,0,26,,,,,CHI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z Dalpe,C,FLA,0.50,0.00,-0.59,0,0,0,0,1,1,0,26,,,,,CHI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D Tokarski,G,BUF,0.50,0.00,-1.80,0,0,0,0,3,2,1,10,,WSH,WSH,,,@PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Pechurskiy,G,PIT,0.50,0.00,0.00,0,0,0,0,3,1,2,15,@PHI,,@PHI,,WSH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Clifford,W,TOR,0.50,0.00,-1.05,0,0,0,0,4,2,2,24,MTL,,@OTT,@OTT,,WPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R Ellis,D,PHI,0.50,0.00,-2.94,0,0,0,0,3,3,0,10,PIT,,PIT,,,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R Lehner,G,VGK,0.50,0.00,-6.89,0,0,1,0,3,3,0,15,,ANA,,ANA,,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Wideman,D,MTL,0.50,0.00,0.00,0,0,0,0,3,0,3,10,@TOR,,,@EDM,,@EDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Connauton,D,LAK,0.50,0.00,-0.93,0,0,0,0,2,2,0,29,,MIN,,MIN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Pashnin,D,NYR,0.50,0.00,0.00,0,0,0,0,2,2,0,18,,NYI,,NYI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Agozzino,W,ANA,0.50,0.00,-0.36,0,0,0,0,3,1,2,14,,@VGK,,@VGK,,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Irwin,D,VAN,0.50,0.00,-0.72,0,0,0,0,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G McKegg,C,EDM,0.50,0.00,-0.05,0,0,0,0,4,4,0,13,VAN,VAN,,MTL,,MTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Telegin,W,WPG,0.50,0.00,0.00,0,0,0,0,2,1,1,15,,CAL,,,,@TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Gravel,D,NSH,0.50,0.00,0.00,0,0,0,0,3,3,0,16,,CBJ,,CBJ,,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z McIntyre,G,MIN,0.50,0.00,0.00,0,0,1,0,3,0,3,22,,@LAK,,@LAK,,@ANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Chudinov,D,BOS,0.50,0.00,0.00,0,0,0,0,3,0,3,25,,@NJD,,@NJD,,@NYI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Jorg,W,NJD,0.50,0.00,0.00,0,0,0,0,2,2,0,2,,BOS,,BOS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Belzile,W,NYR,0.50,0.00,-0.23,0,0,0,0,2,2,0,18,,NYI,,NYI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Fedun,D,PIT,0.50,0.00,0.00,0,0,0,0,3,1,2,15,@PHI,,@PHI,,WSH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Kinkaid,G,NJD,0.50,0.00,-1.86,0,0,2,0,2,2,0,2,,BOS,,BOS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Peca,C,STL,0.50,0.00,-0.60,0,0,0,0,3,1,2,9,@COL,,@COL,,,SJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G Haar,D,WSH,0.50,0.00,0.00,0,0,0,0,3,0,3,6,,@BUF,@BUF,,@PIT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Shalunov,W,CHI,0.50,0.00,0.00,0,0,0,0,3,0,3,14,@TBL,,@TBL,,@FLA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y Kosov,W,FLA,0.50,0.00,0.00,0,0,0,0,1,1,0,26,,,,,CHI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Tynan,C,LAK,0.50,0.00,0.00,0,0,0,0,2,2,0,29,,MIN,,MIN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Fogarty,C,MIN,0.50,0.00,-0.92,0,0,0,0,3,0,3,22,,@LAK,,@LAK,,@ANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X Ouellet,D,PIT,0.50,0.00,-0.35,0,0,0,0,3,1,2,15,@PHI,,@PHI,,WSH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Wotherspoon,D,NJD,0.50,0.00,0.00,0,0,0,0,2,2,0,2,,BOS,,BOS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G Landeskog,W,COL,1.18,0.00,-5.62,0,0,0,0,2,2,0,11,STL,,STL,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Griffith,C,EDM,0.50,0.00,0.00,0,0,0,0,4,4,0,13,VAN,VAN,,MTL,,MTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Elson,C,NYR,0.50,0.00,0.00,0,0,0,0,2,2,0,18,,NYI,,NYI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Hunt,D,COL,0.50,0.00,0.00,0,0,0,0,2,2,0,11,STL,,STL,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O Dansk,G,CAL,0.50,0.00,-1.02,0,0,0,0,3,2,1,13,,@WPG,,VAN,,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Murray,G,TOR,1.36,0.00,-2.21,0,0,0,0,4,2,2,24,MTL,,@OTT,@OTT,,WPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Carrick,D,ANA,0.50,0.00,0.00,0,0,0,0,3,1,2,14,,@VGK,,@VGK,,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Delnov,W,FLA,0.50,0.00,0.00,0,0,0,0,1,1,0,26,,,,,CHI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Boyle,D,OTT,0.50,0.00,0.00,0,0,0,0,2,2,0,13,,,TOR,TOR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P LaDue,D,NYI,0.50,0.00,0.00,0,0,0,0,3,1,2,19,,@NYR,,@NYR,,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Gavrus,C,NJD,0.50,0.00,0.00,0,0,0,0,2,2,0,2,,BOS,,BOS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V Vasiliev,D,PHI,0.50,0.00,0.00,0,0,0,0,3,3,0,10,PIT,,PIT,,,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Kostenko,G,WSH,0.50,0.00,0.00,0,0,0,0,3,0,3,6,,@BUF,@BUF,,@PIT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Sautner,D,WPG,0.50,0.00,0.00,0,0,0,0,2,1,1,15,,CAL,,,,@TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Grosenick,G,NSH,0.50,0.00,-1.34,0,0,0,0,3,3,0,16,,CBJ,,CBJ,,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Pinho,C,NYI,0.50,0.00,0.00,0,0,0,0,3,1,2,19,,@NYR,,@NYR,,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R Rafikov,D,CAL,0.50,0.00,0.00,0,0,0,0,3,2,1,13,,@WPG,,VAN,,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P Quenneville,C,CBJ,0.50,0.00,0.00,0,0,0,0,3,0,3,16,,@NSH,,@NSH,,@DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Jackson,W,SJS,0.50,0.00,0.00,0,0,0,0,3,0,3,13,,@ARI,,@ARI,,@STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Johnsson,W,PIT,0.50,0.00,-0.92,0,0,0,0,3,1,2,15,@PHI,,@PHI,,WSH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E Galimov,W,SJS,0.50,0.00,0.00,0,0,0,0,3,0,3,13,,@ARI,,@ARI,,@STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R Segalla,D,PIT,0.50,0.00,0.00,0,0,0,0,3,1,2,15,@PHI,,@PHI,,WSH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W Butcher,D,MIN,0.50,0.00,-1.58,0,0,0,0,3,0,3,22,,@LAK,,@LAK,,@ANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Poolman,D,VAN,0.50,0.00,-0.96,0,0,0,0,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F Herzog,W,TOR,0.50,0.00,0.00,0,0,0,0,4,2,2,24,MTL,,@OTT,@OTT,,WPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Geertsen,W,VGK,0.50,0.00,0.00,0,0,0,0,3,3,0,15,,ANA,,ANA,,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Harpur,D,NYR,0.50,0.00,-1.31,0,0,0,0,2,2,0,18,,NYI,,NYI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Hurley,C,BUF,0.50,0.00,0.00,0,0,0,0,3,2,1,10,,WSH,WSH,,,@PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Santini,D,LAK,0.50,0.00,-0.75,0,0,0,0,2,2,0,29,,MIN,,MIN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D Heatherington,D,OTT,0.50,0.00,0.00,0,0,0,0,2,2,0,13,,,TOR,TOR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N Brouillard,D,NYR,0.50,0.00,0.00,0,0,0,0,2,2,0,18,,NYI,,NYI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P Maillet,C,MTL,0.50,0.00,0.00,0,0,0,0,3,0,3,10,@TOR,,,@EDM,,@EDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Currie,W,OTT,0.50,0.00,0.00,0,0,0,0,2,2,0,13,,,TOR,TOR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Jacobs,D,STL,0.50,0.00,0.00,0,0,0,0,3,1,2,9,@COL,,@COL,,,SJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V Kamenev,C,COL,0.50,0.00,0.00,0,0,0,0,2,2,0,11,STL,,STL,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R McKeown,D,NSH,0.50,0.00,0.00,0,0,0,0,3,3,0,16,,CBJ,,CBJ,,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Leo,W,ANA,0.50,0.00,0.00,0,0,0,0,3,1,2,14,,@VGK,,@VGK,,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Bishop,C,CAL,0.50,0.00,-0.91,0,0,0,0,3,2,1,13,,@WPG,,VAN,,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D Mayo,D,VGK,0.50,0.00,0.00,0,0,0,0,3,3,0,15,,ANA,,ANA,,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Angello,C,NSH,0.50,0.00,-1.20,0,0,0,0,3,3,0,16,,CBJ,,CBJ,,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P Kraskovsky,C,WPG,0.50,0.00,0.00,0,0,0,0,2,1,1,15,,CAL,,,,@TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Nalimov,G,CHI,0.50,0.00,0.00,0,0,0,0,3,0,3,14,@TBL,,@TBL,,@FLA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Kadeykin,C,DET,0.50,0.00,0.00,0,0,0,0,3,3,0,11,,CAR,,CAR,,CBJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H Hodgson,W,LAK,0.50,0.00,0.00,0,0,0,0,2,2,0,29,,MIN,,MIN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Hicketts,D,LAK,0.50,0.00,0.00,0,0,0,0,2,2,0,29,,MIN,,MIN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L Philip,C,CHI,0.50,0.00,0.00,0,0,0,0,3,0,3,14,@TBL,,@TBL,,@FLA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Zboril,D,BOS,0.50,0.00,-1.08,0,0,0,0,3,0,3,25,,@NJD,,@NJD,,@NYI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Karlsson,C,BOS,0.50,0.00,0.00,0,0,1,0,3,0,3,25,,@NJD,,@NJD,,@NYI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D Kase,W,CAR,0.50,0.00,0.00,0,0,0,0,3,0,3,22,,@DET,,@DET,,@NSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Marody,C,PHI,0.50,0.00,0.00,0,0,0,0,3,3,0,10,PIT,,PIT,,,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G Brisebois,D,VAN,0.50,0.00,0.00,0,0,0,0,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Capobianco,D,WPG,0.50,0.00,0.00,0,0,0,0,2,1,1,15,,CAL,,,,@TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Tomek,G,PHI,0.50,0.00,0.00,0,0,0,0,3,3,0,10,PIT,,PIT,,,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Larsson,D,OTT,0.50,0.00,-0.54,0,0,0,0,2,2,0,13,,,TOR,TOR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Dergachyov,C,LAK,0.50,0.00,0.00,0,0,0,0,2,2,0,29,,MIN,,MIN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Dzierkals,W,VGK,0.50,0.00,0.00,0,0,0,0,3,3,0,15,,ANA,,ANA,,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V Saarijarvi,D,CHI,0.50,0.00,0.00,0,0,0,0,3,0,3,14,@TBL,,@TBL,,@FLA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Saarela,C,FLA,0.50,0.00,0.00,0,0,0,0,1,1,0,26,,,,,CHI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C White,D,ANA,0.50,0.00,0.00,0,0,1,0,3,1,2,14,,@VGK,,@VGK,,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Vorobyov,C,PHI,0.50,0.00,0.00,0,0,0,0,3,3,0,10,PIT,,PIT,,,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Wolanin,D,VAN,0.50,0.00,-0.08,0,0,0,0,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Pottelberghe,G,DET,0.50,0.00,0.00,0,0,0,0,3,3,0,11,,CAR,,CAR,,CBJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
