Name,Pos,team,$,YDiff,Diff,FPs,Avg,#Own,FP/$,#Gm,#HG,#AG,ARnk,Wed 01/13,Thu 01/14,Fri 01/15,Sat 01/16,Sun 01/17,Mon 01/18,Gp,G,A,P,+/-,Pim,Sht,H,Blk,Gwg,Otg,Ppg,Shg,Toi,PPToi,Ga,Sv%,Sv,Win,Loss,Otl,So
I Solovyov,D,CAL,0.51,0.00,0.01,135,13.5,0,26.5,3,2,1,13,,@WPG,,VAN,,VAN,10,0,3,3,-3,4,10,12,17,0,0,0,0,15:54,00:01,0,0,0,0,7,0,0
J Moverare,D,LAK,0.50,0.00,0.00,131,5.5,0,10.9,2,2,0,29,,MIN,,MIN,,,24,1,0,1,0,6,11,10,23,0,0,0,0,10:27,00:00,0,0,0,0,7,0,0
C Foote,D,NJD,0.50,0.00,-1.15,127,31.8,0,63.5,2,2,0,2,,BOS,,BOS,,,4,0,1,1,3,16,0,3,9,0,0,0,0,14:46,00:01,0,0,0,0,2,0,0
N Alexandrov,C,STL,0.50,0.00,0.00,118,5.1,0,10.3,3,1,2,9,@COL,,@COL,,,SJS,23,0,2,2,-4,4,15,26,7,0,0,0,0,08:32,00:00,0,0,0,0,8,0,0
A Beckman,W,MIN,0.50,0.00,0.00,118,10.7,0,21.5,3,0,3,22,,@LAK,,@LAK,,@ANA,11,0,2,2,-2,12,10,13,3,0,0,0,0,09:24,00:00,0,0,0,0,4,0,0
A Klapka,W,CAL,0.58,0.00,0.00,118,19.7,0,33.9,3,2,1,13,,@WPG,,VAN,,VAN,6,1,0,1,-1,19,4,16,3,0,0,0,0,06:46,00:00,0,0,0,0,4,0,0
S Rempal,W,VGK,0.50,0.00,0.00,117,13.0,0,26.0,3,3,0,15,,ANA,,ANA,,ARI,9,2,1,3,-2,4,16,0,4,0,0,1,0,09:58,00:26,0,0,0,0,4,0,0
J Gruden,C,PIT,0.50,0.00,0.00,116,8.9,0,17.8,3,1,2,15,@PHI,,@PHI,,WSH,,13,1,0,1,-2,5,9,33,6,0,0,0,0,08:40,00:00,0,0,0,0,8,0,0
B Froese,C,VGK,0.50,0.00,-0.38,111,6.9,0,13.9,3,3,0,15,,ANA,,ANA,,ARI,16,0,1,1,-2,4,17,21,9,0,0,0,0,10:40,00:02,0,0,0,0,8,0,0
J Patera,G,VGK,0.50,0.00,0.00,110,18.3,1,36.7,3,3,0,15,,ANA,,ANA,,ARI,6,0,0,0,0,0,0,0,0,0,0,0,0,52:48,00:00,21,89.3,175,1,4,1,0
R Kupari,C,WPG,0.50,0.00,0.00,109,3.9,0,7.8,2,1,1,15,,CAL,,,,@TOR,28,0,1,1,-5,4,28,22,11,0,0,0,0,09:08,00:19,0,0,0,0,10,0,0
J Smejkal,W,OTT,0.51,0.00,0.00,106,5.3,0,10.4,2,2,0,13,,,TOR,TOR,,,20,1,1,2,-6,4,10,29,13,0,0,0,0,09:29,00:50,0,0,0,0,11,0,0
C Koepke,W,TBL,0.50,0.00,0.00,104,11.6,0,23.1,2,2,0,26,CHI,,CHI,,,,9,0,2,2,0,0,9,17,1,0,0,0,0,06:42,00:00,0,0,0,0,4,0,0
M Pyyhtia,W,CBJ,0.51,0.00,0.01,102,6.0,0,11.8,3,0,3,16,,@NSH,,@NSH,,@DET,17,0,2,2,-5,0,22,9,20,0,0,0,0,13:09,00:00,0,0,0,0,10,0,0
M Hellberg,G,PIT,0.50,0.00,0.00,93,31.0,0,62.0,3,1,2,15,@PHI,,@PHI,,WSH,,3,0,0,0,0,0,0,0,0,0,0,0,0,39:58,00:00,5,92.2,59,1,1,0,0
L Foudy,C,NSH,0.50,0.00,-0.67,93,7.2,0,14.3,3,3,0,16,,CBJ,,CBJ,,CAR,13,0,3,3,-2,2,7,5,4,0,0,0,0,09:59,00:04,0,0,0,0,7,0,0
A Ginning,D,PHI,0.50,0.00,0.00,91,10.1,0,20.2,3,3,0,10,PIT,,PIT,,,BUF,9,1,0,1,0,0,6,18,9,0,0,0,0,14:09,00:00,0,0,0,0,4,0,0
L Ohgren,W,MIN,0.50,0.00,0.00,90,22.5,0,45.0,3,0,3,22,,@LAK,,@LAK,,@ANA,4,1,1,2,0,0,8,2,0,1,0,0,0,14:31,00:00,0,0,0,0,2,0,0
R Tufte,W,COL,0.50,0.00,0.00,88,17.6,0,35.2,2,2,0,11,STL,,STL,,,,5,1,1,2,-2,2,7,7,2,1,0,0,0,11:07,00:21,0,0,0,0,2,0,0
I Askarov,G,NSH,0.50,0.00,0.00,86,43.0,0,86.0,3,3,0,16,,CBJ,,CBJ,,CAR,2,0,0,0,0,0,0,0,0,0,0,0,0,40:50,00:00,2,94.3,33,1,1,0,0
L Domingue,G,NYR,0.50,0.00,0.00,85,85.0,3,170.0,2,2,0,18,,NYI,,NYI,,,1,0,0,0,0,0,0,0,0,0,0,0,0,01:00,00:00,1,96.2,25,1,0,0,0
C Driedger,G,SEA,0.50,0.00,-7.06,85,42.5,0,85.0,0,0,0,0,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,59:48,00:00,5,91.7,55,1,1,0,0
D Cooley,G,SJS,0.50,0.00,0.00,84,14.0,0,28.0,3,0,3,13,,@ARI,,@ARI,,@STL,6,0,0,0,0,0,0,0,0,0,0,0,0,50:15,00:00,25,87.0,167,2,3,1,0
P Brown,C,BOS,0.50,0.00,-0.19,83,6.9,0,13.8,3,0,3,25,,@NJD,,@NJD,,@NYI,12,0,1,1,-3,4,7,27,4,0,0,0,0,08:48,00:00,0,0,0,0,1,0,0
K Dach,C,MTL,0.50,0.00,-1.45,82,41.0,0,82.0,3,0,3,10,@TOR,,,@EDM,,@EDM,2,0,2,2,2,0,3,3,0,0,0,0,0,13:01,03:26,0,0,0,0,0,0,0
L Couture,C,SJS,0.50,0.00,-2.58,81,13.5,0,27.0,3,0,3,13,,@ARI,,@ARI,,@STL,6,0,1,1,0,4,7,7,8,0,0,0,0,18:45,02:39,0,0,0,0,1,0,0
B Imama,W,OTT,0.50,0.00,0.00,79,13.2,0,26.3,2,2,0,13,,,TOR,TOR,,,6,0,0,0,1,7,1,22,1,0,0,0,0,05:35,00:00,0,0,0,0,3,0,0
