id,ids,name,surname,position,team,price,active,assists,average,blocks,datum,diff,domaci,fletter,ga,goals,gwg,gwin,ha,hits,icetime,id_day,id_muzstvo,injured,last_points,ldesc,locked,loss,matches,note,otg,otl,owned,permil,plusminus,pm,points,ppg,pptime,pts,saves,sdiff,shg,shots,so,sog,spct,status,zaciatok,zmena
8477967,,Thatcher Demko,Demko,G,VAN,3740000,1,0,30.086957,0,,0,,T,63,0,0,10,0,0,56:36,0,58,0,0,,0,8,23,,0,3,0,,0,0,692.00,0,00:00,0,506,-1250000,0,0,1,,88.9,,,
8480888,,Stanislav Demin,Demin,D,CHI,500000,0,,,,,0,,S,,,,,0,,,0,36,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8484984,,Ivan Demidov,Demidov,W,MTL,1590000,1,3,13.714286,2,,0,,I,0,1,0,0,0,9,14:15,0,45,1,0,20251004,0,3,7,,0,0,0,,-4,0,96.00,0,00:00,4,0,,0,7,0,,,,2025-10-01,2025-10-01
8474218,,Jason Demers,Demers,D,ARI,500000,0,,,,,0,,J,,,,,0,,,0,52,0,0,,0,,,,,,0,,,,,,,,,-760000,,,,,,,,
8476331,,Dylan DeMelo,DeMelo,D,WPG,3220000,1,19,19.117021,115,,0,,D,0,4,2,0,0,161,21:35,0,60,0,0,,0,27,94,,0,0,0,,30,48,1797.00,0,00:00,23,0,1190000,0,93,0,,,,,
8482933,,Jakub Demek,Demek,C,VGK,500000,1,,,,,0,,J,,,,,0,,,0,62,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8482239,,Vasili Demchenko,Demchenko,G,MTL,500000,0,,,,,0,,V,,,,,0,,,0,45,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8476964,,Alexander Delnov,Delnov,W,FLA,500000,0,,,,,0,,A,,,,,0,,,0,42,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8480848,,Ty Dellandrea,Dellandrea,C,SJS,1170000,1,7,8.544118,44,,0,,T,0,1,0,0,0,163,11:48,0,54,0,0,,0,42,68,,0,0,0,,-31,59,581.00,0,00:00,8,0,-650000,0,50,0,,,,,
8485571,,Francesco Dell'Elce,Dell'Elce,D,COL,500000,1,,,,,0,,F,,,,,0,,,0,37,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
